species_name,genome_file_name,cds_file_name
pseudozyma_hubeiensis,pseudozyma_hubeiensis_genomic.fna,pseudozyma_hubeiensis_cds.fna
aplosporella_prunicola,aplosporella_prunicola_genomic.fna,aplosporella_prunicola_cds.fna
nakaseomyces_delphensis,nakaseomyces_delphensis_genomic.fna,nakaseomyces_delphensis_cds.fna
xylona_heveae,xylona_heveae_genomic.fna,xylona_heveae_cds.fna
cryptococcus_wingfieldii,cryptococcus_wingfieldii_genomic.fna,cryptococcus_wingfieldii_cds.fna
dissoconium_aciculare,dissoconium_aciculare_genomic.fna,dissoconium_aciculare_cds.fna
laetiporus_sulphureus,laetiporus_sulphureus_genomic.fna,laetiporus_sulphureus_cds.fna
umbelopsis_ramanniana,umbelopsis_ramanniana_genomic.fna,umbelopsis_ramanniana_cds.fna
cucurbitaria_berberidis,cucurbitaria_berberidis_genomic.fna,cucurbitaria_berberidis_cds.fna
wallemia_ichthyophaga,wallemia_ichthyophaga_genomic.fna,wallemia_ichthyophaga_cds.fna
aspergillus_glaucus,aspergillus_glaucus_genomic.fna,aspergillus_glaucus_cds.fna
malassezia_sympodialis,malassezia_sympodialis_genomic.fna,malassezia_sympodialis_cds.fna
kwoniella_dejecticola,kwoniella_dejecticola_genomic.fna,kwoniella_dejecticola_cds.fna
kwoniella_bestiolae,kwoniella_bestiolae_genomic.fna,kwoniella_bestiolae_cds.fna
kwoniella_pini,kwoniella_pini_genomic.fna,kwoniella_pini_cds.fna
phaeoacremonium_minimum,phaeoacremonium_minimum_genomic.fna,phaeoacremonium_minimum_cds.fna
cladophialophora_psammophila,cladophialophora_psammophila_genomic.fna,cladophialophora_psammophila_cds.fna
moesziomyces_antarcticus,moesziomyces_antarcticus_genomic.fna,moesziomyces_antarcticus_cds.fna
cladophialophora_carrionii,cladophialophora_carrionii_genomic.fna,cladophialophora_carrionii_cds.fna
metarhizium_brunneum,metarhizium_brunneum_genomic.fna,metarhizium_brunneum_cds.fna
paracoccidioides_lutzii,paracoccidioides_lutzii_genomic.fna,paracoccidioides_lutzii_cds.fna
pestalotiopsis_fici,pestalotiopsis_fici_genomic.fna,pestalotiopsis_fici_cds.fna
cyphellophora_europaea,cyphellophora_europaea_genomic.fna,cyphellophora_europaea_cds.fna
pichia_kudriavzevii,pichia_kudriavzevii_genomic.fna,pichia_kudriavzevii_cds.fna
aspergillus_wentii,aspergillus_wentii_genomic.fna,aspergillus_wentii_cds.fna
pichia_membranifaciens,pichia_membranifaciens_genomic.fna,pichia_membranifaciens_cds.fna
ogataea_parapolymorpha,ogataea_parapolymorpha_genomic.fna,ogataea_parapolymorpha_cds.fna
fusarium_pseudograminearum,fusarium_pseudograminearum_genomic.fna,fusarium_pseudograminearum_cds.fna
dichomitus_squalens,dichomitus_squalens_genomic.fna,dichomitus_squalens_cds.fna
heterobasidion_irregulare,heterobasidion_irregulare_genomic.fna,heterobasidion_irregulare_cds.fna
exophiala_aquamarina,exophiala_aquamarina_genomic.fna,exophiala_aquamarina_cds.fna
cladophialophora_yegresii,cladophialophora_yegresii_genomic.fna,cladophialophora_yegresii_cds.fna
capronia_epimyces,capronia_epimyces_genomic.fna,capronia_epimyces_cds.fna
capronia_coronata,capronia_coronata_genomic.fna,capronia_coronata_cds.fna
bipolaris_victoriae,bipolaris_victoriae_genomic.fna,bipolaris_victoriae_cds.fna
bipolaris_zeicola,bipolaris_zeicola_genomic.fna,bipolaris_zeicola_cds.fna
bipolaris_oryzae,bipolaris_oryzae_genomic.fna,bipolaris_oryzae_cds.fna
coniosporium_apollinis,coniosporium_apollinis_genomic.fna,coniosporium_apollinis_cds.fna
metarhizium_robertsii,metarhizium_robertsii_genomic.fna,metarhizium_robertsii_cds.fna
fulvia_fulva,fulvia_fulva_genomic.fna,fulvia_fulva_cds.fna
aspergillus_aculeatus,aspergillus_aculeatus_genomic.fna,aspergillus_aculeatus_cds.fna
kazachstania_naganishii,kazachstania_naganishii_genomic.fna,kazachstania_naganishii_cds.fna
kazachstania_africana,kazachstania_africana_genomic.fna,kazachstania_africana_cds.fna
tetrapisispora_blattae,tetrapisispora_blattae_genomic.fna,tetrapisispora_blattae_cds.fna
tetrapisispora_phaffii,tetrapisispora_phaffii_genomic.fna,tetrapisispora_phaffii_cds.fna
naumovozyma_dairenensis,naumovozyma_dairenensis_genomic.fna,naumovozyma_dairenensis_cds.fna
alternaria_arborescens,alternaria_arborescens_genomic.fna,alternaria_arborescens_cds.fna
cordyceps_fumosorosea,cordyceps_fumosorosea_genomic.fna,cordyceps_fumosorosea_cds.fna
metarhizium_album,metarhizium_album_genomic.fna,metarhizium_album_cds.fna
eremothecium_cymbalariae,eremothecium_cymbalariae_genomic.fna,eremothecium_cymbalariae_cds.fna
colletotrichum_higginsianum,colletotrichum_higginsianum_genomic.fna,colletotrichum_higginsianum_cds.fna
tremella_mesenterica,tremella_mesenterica_genomic.fna,tremella_mesenterica_cds.fna
saitoella_complicata,saitoella_complicata_genomic.fna,saitoella_complicata_cds.fna
thermothelomyces_thermophilus,thermothelomyces_thermophilus_genomic.fna,thermothelomyces_thermophilus_cds.fna
cordyceps_militaris,cordyceps_militaris_genomic.fna,cordyceps_militaris_cds.fna
gloeophyllum_trabeum,gloeophyllum_trabeum_genomic.fna,gloeophyllum_trabeum_cds.fna
vavraia_culicis,vavraia_culicis_genomic.fna,vavraia_culicis_cds.fna
