species_name,genome_file_name,cds_file_name
naumovozyma_castellii,naumovozyma_castellii_genomic.fna,naumovozyma_castellii_cds.fna
aspergillus_terreus,aspergillus_terreus_genomic.fna,aspergillus_terreus_cds.fna
guyanagaster_necrorhizus,guyanagaster_necrorhizus_genomic.fna,guyanagaster_necrorhizus_cds.fna
orbilia_oligospora,orbilia_oligospora_genomic.fna,orbilia_oligospora_cds.fna
fusarium_vanettenii,fusarium_vanettenii_genomic.fna,fusarium_vanettenii_cds.fna
fusarium_odoratissimum,fusarium_odoratissimum_genomic.fna,fusarium_odoratissimum_cds.fna
aaosphaeria_arxii,aaosphaeria_arxii_genomic.fna,aaosphaeria_arxii_cds.fna
dothidotthia_symphoricarpi,dothidotthia_symphoricarpi_genomic.fna,dothidotthia_symphoricarpi_cds.fna
didymella_exigua,didymella_exigua_genomic.fna,didymella_exigua_cds.fna
eremomyces_bilateralis,eremomyces_bilateralis_genomic.fna,eremomyces_bilateralis_cds.fna
thermothielavioides_terrestris,thermothielavioides_terrestris_genomic.fna,thermothielavioides_terrestris_cds.fna
sodiomyces_alkalinus,sodiomyces_alkalinus_genomic.fna,sodiomyces_alkalinus_cds.fna
hyaloscypha_bicolor,hyaloscypha_bicolor_genomic.fna,hyaloscypha_bicolor_cds.fna
yamadazyma_tenuis,yamadazyma_tenuis_genomic.fna,yamadazyma_tenuis_cds.fna
aspergillus_homomorphus,aspergillus_homomorphus_genomic.fna,aspergillus_homomorphus_cds.fna
aspergillus_ibericus,aspergillus_ibericus_genomic.fna,aspergillus_ibericus_cds.fna
aspergillus_costaricensis,aspergillus_costaricensis_genomic.fna,aspergillus_costaricensis_cds.fna
aspergillus_fijiensis,aspergillus_fijiensis_genomic.fna,aspergillus_fijiensis_cds.fna
aspergillus_japonicus,aspergillus_japonicus_genomic.fna,aspergillus_japonicus_cds.fna
aspergillus_aculeatinus,aspergillus_aculeatinus_genomic.fna,aspergillus_aculeatinus_cds.fna
