species_name,genome_file_name,cds_file_name
scerevisiae,scerevisiae_genome.fna,scerevisiae_cds.fna
foxysporum,foxysporum_genome.fna,foxysporum_cds.fna
calbicans,calbicans_genome.fna,calbicans_cds.fna
cneoformans,cneoformans_genome.fna,cneoformans_cds.fna
poryzae,poryzae_genome.fna,poryzae_cds.fna
trubrum,trubrum_genome.fna,trubrum_cds.fna
pstriiformis,pstriiformis_genome.fna,pstriiformis_cds.fna
rsolani,rsolani_genome.fna,rsolani_cds.fna
ztritici,ztritici_genome.fna,ztritici_cds.fna
afumigatus,afumigatus_genome.fna,afumigatus_cds.fna
rmicrosporus,rmicrosporus_genome.fna,rmicrosporus_cds.fna
aoryzae,aoryzae_genome.fna,aoryzae_cds.fna
cgattii,cgattii_genome.fna,cgattii_cds.fna
aniger,aniger_genome.fna,aniger_cds.fna
slacrymans,slacrymans_genome.fna,slacrymans_cds.fna
abisporus,abisporus_genome.fna,abisporus_cds.fna
vdahliae,vdahliae_genome.fna,vdahliae_cds.fna
cimmitis,cimmitis_genome.fna,cimmitis_cds.fna
bdermatitidis,bdermatitidis_genome.fna,bdermatitidis_cds.fna
hcapsulatum,hcapsulatum_genome.fna,hcapsulatum_cds.fna
poxalicum,poxalicum_genome.fna,poxalicum_cds.fna
kmangrovensis,kmangrovensis_genome.fna,kmangrovensis_cds.fna
dbrunnea,dbrunnea_genome.fna,dbrunnea_cds.fna
pdigitatum,pdigitatum_genome.fna,pdigitatum_cds.fna
rtoruloides,rtoruloides_genome.fna,rtoruloides_cds.fna
bbruxellensis,bbruxellensis_genome.fna,bbruxellensis_cds.fna
bcinerea,bcinerea_genome.fna,bcinerea_cds.fna
scommune,scommune_genome.fna,scommune_cds.fna
treesei,treesei_genome.fna,treesei_cds.fna
ylipolytica,ylipolytica_genome.fna,ylipolytica_cds.fna
aluchuensis,aluchuensis_genome.fna,aluchuensis_cds.fna
kphaffii,kphaffii_genome.fna,kphaffii_cds.fna
rirregularis,rirregularis_genome.fna,rirregularis_cds.fna
cgloeosporioides,cgloeosporioides_genome.fna,cgloeosporioides_cds.fna
camylolentus,camylolentus_genome.fna,camylolentus_cds.fna
tasahii,tasahii_genome.fna,tasahii_cds.fna
cjadinii,cjadinii_genome.fna,cjadinii_cds.fna
apullulans,apullulans_genome.fna,apullulans_cds.fna
ffujikuroi,ffujikuroi_genome.fna,ffujikuroi_cds.fna
pgrisea,pgrisea_genome.fna,pgrisea_cds.fna
eturcicum,eturcicum_genome.fna,eturcicum_cds.fna
corthopsilosis,corthopsilosis_genome.fna,corthopsilosis_cds.fna
glozoyensis,glozoyensis_genome.fna,glozoyensis_cds.fna
pchlamydosporia,pchlamydosporia_genome.fna,pchlamydosporia_cds.fna
kmarxianus,kmarxianus_genome.fna,kmarxianus_cds.fna
ntetrasperma,ntetrasperma_genome.fna,ntetrasperma_cds.fna
wanomalus,wanomalus_genome.fna,wanomalus_cds.fna
bmaydis,bmaydis_genome.fna,bmaydis_cds.fna
pdestructans,pdestructans_genome.fna,pdestructans_cds.fna
bbassiana,bbassiana_genome.fna,bbassiana_cds.fna
mcanis,mcanis_genome.fna,mcanis_cds.fna
tvirens,tvirens_genome.fna,tvirens_cds.fna
pplacenta,pplacenta_genome.fna,pplacenta_cds.fna
tmarneffei,tmarneffei_genome.fna,tmarneffei_cds.fna
pnodorum,pnodorum_genome.fna,pnodorum_cds.fna
bdendrobatidis,bdendrobatidis_genome.fna,bdendrobatidis_cds.fna
aflavus,aflavus_genome.fna,aflavus_cds.fna
pgraminis,pgraminis_genome.fna,pgraminis_cds.fna
pbrasiliensis,pbrasiliensis_genome.fna,pbrasiliensis_cds.fna
clusitaniae,clusitaniae_genome.fna,clusitaniae_cds.fna
dhansenii,dhansenii_genome.fna,dhansenii_cds.fna
egossypii,egossypii_genome.fna,egossypii_cds.fna
ncastellii,ncastellii_genome.fna,ncastellii_cds.fna
aterreus,aterreus_genome.fna,aterreus_cds.fna
gnecrorhizus,gnecrorhizus_genome.fna,gnecrorhizus_cds.fna
ooligospora,ooligospora_genome.fna,ooligospora_cds.fna
fvanettenii,fvanettenii_genome.fna,fvanettenii_cds.fna
fodoratissimum,fodoratissimum_genome.fna,fodoratissimum_cds.fna
aarxii,aarxii_genome.fna,aarxii_cds.fna
dsymphoricarpi,dsymphoricarpi_genome.fna,dsymphoricarpi_cds.fna
dexigua,dexigua_genome.fna,dexigua_cds.fna
ebilateralis,ebilateralis_genome.fna,ebilateralis_cds.fna
tterrestris,tterrestris_genome.fna,tterrestris_cds.fna
salkalinus,salkalinus_genome.fna,salkalinus_cds.fna
hbicolor,hbicolor_genome.fna,hbicolor_cds.fna
ytenuis,ytenuis_genome.fna,ytenuis_cds.fna
ahomomorphus,ahomomorphus_genome.fna,ahomomorphus_cds.fna
aibericus,aibericus_genome.fna,aibericus_cds.fna
acostaricensis,acostaricensis_genome.fna,acostaricensis_cds.fna
afijiensis,afijiensis_genome.fna,afijiensis_cds.fna
ajaponicus,ajaponicus_genome.fna,ajaponicus_cds.fna
aaculeatinus,aaculeatinus_genome.fna,aaculeatinus_cds.fna
apiperis,apiperis_genome.fna,apiperis_cds.fna
