species_name,genome_file_name,cds_file_name
scerevisiae,scerevisiae_genome.fna,scerevisiae_cds.fna
ylipolytica,ylipolytica_genome.fna,ylipolytica_cds.fna
kmarxianus,kmarxianus_genome.fna,kmarxianus_cds.fna
klactis,klactis_genome.fna,klactis_cds.fna
spombe,spombe_genome.fna,spombe_cds.fna
rtoruloides,rtoruloides_genome.fna,rtoruloides_cds.fna
kphaffii,kphaffii_genome.fna,kphaffii_cds.fna
ncrassa,ncrassa_genome.fna,ncrassa_cds.fna
dhansenii,dhansenii_genome.fna,dhansenii_cds.fna
bbruxellensis,bbruxellensis_genome.fna,bbruxellensis_cds.fna
calbicans,calbicans_genome.fna,calbicans_cds.fna
cneoformans,cneoformans_genome.fna,cneoformans_cds.fna
sstipitis,sstipitis_genome.fna,sstipitis_cds.fna
ndairenensis,ndairenensis_genome.fna,ndairenensis_cds.fna
bcinerea,bcinerea_genome.fna,bcinerea_cds.fna
egossypii,egossypii_genome.fna,egossypii_cds.fna
tdelbrueckii,tdelbrueckii_genome.fna,tdelbrueckii_cds.fna
lelongisporus,lelongisporus_genome.fna,lelongisporus_cds.fna
poryzae,poryzae_genome.fna,poryzae_cds.fna
cgattii,cgattii_genome.fna,cgattii_cds.fna
