species_name,genome_file_name,cds_file_name
saccharomyces_cerevisiae,saccharomyces_cerevisiae_genomic.fna,saccharomyces_cerevisiae_cds.fna
fusarium_oxysporum,fusarium_oxysporum_genomic.fna,fusarium_oxysporum_cds.fna
pyricularia_oryzae,pyricularia_oryzae_genomic.fna,pyricularia_oryzae_cds.fna
trichophyton_rubrum,trichophyton_rubrum_genomic.fna,trichophyton_rubrum_cds.fna
puccinia_striiformis,puccinia_striiformis_genomic.fna,puccinia_striiformis_cds.fna
rhizoctonia_solani,rhizoctonia_solani_genomic.fna,rhizoctonia_solani_cds.fna
zymoseptoria_tritici,zymoseptoria_tritici_genomic.fna,zymoseptoria_tritici_cds.fna
aspergillus_fumigatus,aspergillus_fumigatus_genomic.fna,aspergillus_fumigatus_cds.fna
rhizopus_microsporus,rhizopus_microsporus_genomic.fna,rhizopus_microsporus_cds.fna
aspergillus_oryzae,aspergillus_oryzae_genomic.fna,aspergillus_oryzae_cds.fna
