species_name,genome_file_name,cds_file_name,gff_file_name,original_name,cds_url,genome_url,proteome_url,gff_url,source,gff_urls
saccharomyces_cerevisiae,saccharomyces_cerevisiae_genomic.fna,saccharomyces_cerevisiae_cds_from_gff.fna,saccharomyces_cerevisiae.gff,saccharomyces_cerevisiae,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000146045.2/download?include_annotation_type=CDS_FASTA"" --output saccharomyces_cerevisiae_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000146045.2/download?include_annotation_type=GENOME_FASTA"" --output saccharomyces_cerevisiae_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000146045.2/download?include_annotation_type=PROT_FASTA"" --output saccharomyces_cerevisiae_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000146045.2/download?include_annotation_type=GENOME_GFF"" --output saccharomyces_cerevisiae_gff_download.zip",NCBI,
fusarium_oxysporum,fusarium_oxysporum_genomic.fna,fusarium_oxysporum_cds_from_gff.fna,fusarium_oxysporum.gff,fusarium_oxysporum,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_013085055.1/download?include_annotation_type=CDS_FASTA"" --output fusarium_oxysporum_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_013085055.1/download?include_annotation_type=GENOME_FASTA"" --output fusarium_oxysporum_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_013085055.1/download?include_annotation_type=PROT_FASTA"" --output fusarium_oxysporum_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_013085055.1/download?include_annotation_type=GENOME_GFF"" --output fusarium_oxysporum_gff_download.zip",NCBI,
candida_albicans,candida_albicans_genomic.fna,candida_albicans_cds_from_gff.fna,candida_albicans.gff,candida_albicans,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000182965.3/download?include_annotation_type=CDS_FASTA"" --output candida_albicans_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000182965.3/download?include_annotation_type=GENOME_FASTA"" --output candida_albicans_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000182965.3/download?include_annotation_type=PROT_FASTA"" --output candida_albicans_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000182965.3/download?include_annotation_type=GENOME_GFF"" --output candida_albicans_gff_download.zip",NCBI,
cryptococcus_neoformans,cryptococcus_neoformans_genomic.fna,cryptococcus_neoformans_cds_from_gff.fna,cryptococcus_neoformans.gff,cryptococcus_neoformans,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000091045.1/download?include_annotation_type=CDS_FASTA"" --output cryptococcus_neoformans_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000091045.1/download?include_annotation_type=GENOME_FASTA"" --output cryptococcus_neoformans_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000091045.1/download?include_annotation_type=PROT_FASTA"" --output cryptococcus_neoformans_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000091045.1/download?include_annotation_type=GENOME_GFF"" --output cryptococcus_neoformans_gff_download.zip",NCBI,
saccharomyces_kudriavzevii,saccharomyces_kudriavzevii_genomic.fna,saccharomyces_kudriavzevii_cds_from_gff.fna,saccharomyces_kudriavzevii.gff,saccharomyces_kudriavzevii,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_947243775.1/download?include_annotation_type=CDS_FASTA"" --output saccharomyces_kudriavzevii_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_947243775.1/download?include_annotation_type=GENOME_FASTA"" --output saccharomyces_kudriavzevii_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_947243775.1/download?include_annotation_type=PROT_FASTA"" --output saccharomyces_kudriavzevii_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_947243775.1/download?include_annotation_type=GENOME_GFF"" --output saccharomyces_kudriavzevii_gff_download.zip",NCBI,
pyricularia_oryzae,pyricularia_oryzae_genomic.fna,pyricularia_oryzae_cds_from_gff.fna,pyricularia_oryzae.gff,pyricularia_oryzae,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002495.2/download?include_annotation_type=CDS_FASTA"" --output pyricularia_oryzae_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002495.2/download?include_annotation_type=GENOME_FASTA"" --output pyricularia_oryzae_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002495.2/download?include_annotation_type=PROT_FASTA"" --output pyricularia_oryzae_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002495.2/download?include_annotation_type=GENOME_GFF"" --output pyricularia_oryzae_gff_download.zip",NCBI,
trichophyton_rubrum,trichophyton_rubrum_genomic.fna,trichophyton_rubrum_cds_from_gff.fna,trichophyton_rubrum.gff,trichophyton_rubrum,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000151425.1/download?include_annotation_type=CDS_FASTA"" --output trichophyton_rubrum_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000151425.1/download?include_annotation_type=GENOME_FASTA"" --output trichophyton_rubrum_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000151425.1/download?include_annotation_type=PROT_FASTA"" --output trichophyton_rubrum_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000151425.1/download?include_annotation_type=GENOME_GFF"" --output trichophyton_rubrum_gff_download.zip",NCBI,
cryptococcus_gattii,cryptococcus_gattii_vgii_genomic.fna,cryptococcus_gattii_vgii_cds_from_gff.fna,cryptococcus_gattii_vgii.gff,cryptococcus_gattii_vgii,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_002954075.1/download?include_annotation_type=CDS_FASTA"" --output cryptococcus_gattii_vgii_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_002954075.1/download?include_annotation_type=GENOME_FASTA"" --output cryptococcus_gattii_vgii_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_002954075.1/download?include_annotation_type=PROT_FASTA"" --output cryptococcus_gattii_vgii_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_002954075.1/download?include_annotation_type=GENOME_GFF"" --output cryptococcus_gattii_vgii_gff_download.zip",NCBI,
puccinia_striiformis,puccinia_striiformis_genomic.fna,puccinia_striiformis_cds_from_gff.fna,puccinia_striiformis.gff,puccinia_striiformis,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_021901695.1/download?include_annotation_type=CDS_FASTA"" --output puccinia_striiformis_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_021901695.1/download?include_annotation_type=GENOME_FASTA"" --output puccinia_striiformis_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_021901695.1/download?include_annotation_type=PROT_FASTA"" --output puccinia_striiformis_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_021901695.1/download?include_annotation_type=GENOME_GFF"" --output puccinia_striiformis_gff_download.zip",NCBI,
rhizoctonia_solani,rhizoctonia_solani_genomic.fna,rhizoctonia_solani_cds_from_gff.fna,rhizoctonia_solani.gff,rhizoctonia_solani,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016906535.1/download?include_annotation_type=CDS_FASTA"" --output rhizoctonia_solani_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016906535.1/download?include_annotation_type=GENOME_FASTA"" --output rhizoctonia_solani_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016906535.1/download?include_annotation_type=PROT_FASTA"" --output rhizoctonia_solani_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016906535.1/download?include_annotation_type=GENOME_GFF"" --output rhizoctonia_solani_gff_download.zip",NCBI,
