species_name,genome_file_name,cds_file_name,gff_file_name,original_name,ortho_file_name,cds_url,genome_url,proteome_url,gff_url,source
saccharomyces_cerevisiae,saccharomyces_cerevisiae_genomic.fna,saccharomyces_cerevisiae_cds_from_gff.fna,saccharomyces_cerevisiae.gff,saccharomyces_cerevisiae,saccharomyces_cerevisiae_cds.fna,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000146045.2/download?include_annotation_type=CDS_FASTA"" --output saccharomyces_cerevisiae_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000146045.2/download?include_annotation_type=GENOME_FASTA"" --output saccharomyces_cerevisiae_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000146045.2/download?include_annotation_type=PROT_FASTA"" --output saccharomyces_cerevisiae_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000146045.2/download?include_annotation_type=GENOME_GFF"" --output saccharomyces_cerevisiae_gff_download.zip",NCBI
fusarium_oxysporum,fusarium_oxysporum_genomic.fna,fusarium_oxysporum_cds_from_gff.fna,fusarium_oxysporum.gff,fusarium_oxysporum,fusarium_oxysporum_cds.fna,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_013085055.1/download?include_annotation_type=CDS_FASTA"" --output fusarium_oxysporum_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_013085055.1/download?include_annotation_type=GENOME_FASTA"" --output fusarium_oxysporum_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_013085055.1/download?include_annotation_type=PROT_FASTA"" --output fusarium_oxysporum_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_013085055.1/download?include_annotation_type=GENOME_GFF"" --output fusarium_oxysporum_gff_download.zip",NCBI
candida_albicans,candida_albicans_genomic.fna,candida_albicans_cds_from_gff.fna,candida_albicans.gff,candida_albicans,candida_albicans_cds.fna,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000182965.3/download?include_annotation_type=CDS_FASTA"" --output candida_albicans_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000182965.3/download?include_annotation_type=GENOME_FASTA"" --output candida_albicans_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000182965.3/download?include_annotation_type=PROT_FASTA"" --output candida_albicans_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000182965.3/download?include_annotation_type=GENOME_GFF"" --output candida_albicans_gff_download.zip",NCBI
saccharomyces_kudriavzevii,saccharomyces_kudriavzevii_genomic.fna,saccharomyces_kudriavzevii_cds_from_gff.fna,saccharomyces_kudriavzevii.gff,saccharomyces_kudriavzevii,saccharomyces_kudriavzevii_cds.fna,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_947243775.1/download?include_annotation_type=CDS_FASTA"" --output saccharomyces_kudriavzevii_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_947243775.1/download?include_annotation_type=GENOME_FASTA"" --output saccharomyces_kudriavzevii_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_947243775.1/download?include_annotation_type=PROT_FASTA"" --output saccharomyces_kudriavzevii_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_947243775.1/download?include_annotation_type=GENOME_GFF"" --output saccharomyces_kudriavzevii_gff_download.zip",NCBI
pyricularia_oryzae,pyricularia_oryzae_genomic.fna,pyricularia_oryzae_cds_from_gff.fna,pyricularia_oryzae.gff,pyricularia_oryzae,pyricularia_oryzae_cds.fna,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002495.2/download?include_annotation_type=CDS_FASTA"" --output pyricularia_oryzae_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002495.2/download?include_annotation_type=GENOME_FASTA"" --output pyricularia_oryzae_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002495.2/download?include_annotation_type=PROT_FASTA"" --output pyricularia_oryzae_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002495.2/download?include_annotation_type=GENOME_GFF"" --output pyricularia_oryzae_gff_download.zip",NCBI
trichophyton_rubrum,trichophyton_rubrum_genomic.fna,trichophyton_rubrum_cds_from_gff.fna,trichophyton_rubrum.gff,trichophyton_rubrum,trichophyton_rubrum_cds.fna,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000151425.1/download?include_annotation_type=CDS_FASTA"" --output trichophyton_rubrum_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000151425.1/download?include_annotation_type=GENOME_FASTA"" --output trichophyton_rubrum_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000151425.1/download?include_annotation_type=PROT_FASTA"" --output trichophyton_rubrum_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000151425.1/download?include_annotation_type=GENOME_GFF"" --output trichophyton_rubrum_gff_download.zip",NCBI
aspergillus_oryzae,aspergillus_oryzae_genomic.fna,aspergillus_oryzae_cds_from_gff.fna,aspergillus_oryzae.gff,aspergillus_oryzae,aspergillus_oryzae_cds.fna,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000184455.2/download?include_annotation_type=CDS_FASTA"" --output aspergillus_oryzae_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000184455.2/download?include_annotation_type=GENOME_FASTA"" --output aspergillus_oryzae_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000184455.2/download?include_annotation_type=PROT_FASTA"" --output aspergillus_oryzae_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000184455.2/download?include_annotation_type=GENOME_GFF"" --output aspergillus_oryzae_gff_download.zip",NCBI
zymoseptoria_tritici,zymoseptoria_tritici_genomic.fna,zymoseptoria_tritici_cds_from_gff.fna,zymoseptoria_tritici.gff,zymoseptoria_tritici,zymoseptoria_tritici_cds.fna,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000219625.1/download?include_annotation_type=CDS_FASTA"" --output zymoseptoria_tritici_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000219625.1/download?include_annotation_type=GENOME_FASTA"" --output zymoseptoria_tritici_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000219625.1/download?include_annotation_type=PROT_FASTA"" --output zymoseptoria_tritici_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000219625.1/download?include_annotation_type=GENOME_GFF"" --output zymoseptoria_tritici_gff_download.zip",NCBI
aspergillus_fumigatus,aspergillus_fumigatus_genomic.fna,aspergillus_fumigatus_cds_from_gff.fna,aspergillus_fumigatus.gff,aspergillus_fumigatus,aspergillus_fumigatus_cds.fna,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002655.1/download?include_annotation_type=CDS_FASTA"" --output aspergillus_fumigatus_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002655.1/download?include_annotation_type=GENOME_FASTA"" --output aspergillus_fumigatus_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002655.1/download?include_annotation_type=PROT_FASTA"" --output aspergillus_fumigatus_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002655.1/download?include_annotation_type=GENOME_GFF"" --output aspergillus_fumigatus_gff_download.zip",NCBI
blumeria_graminis,blumeria_graminis_genomic.fna,blumeria_graminis_cds_from_gff.fna,blumeria_graminis.gff,blumeria_graminis,blumeria_graminis_cds.fna,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_905067625.1/download?include_annotation_type=CDS_FASTA"" --output blumeria_graminis_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_905067625.1/download?include_annotation_type=GENOME_FASTA"" --output blumeria_graminis_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_905067625.1/download?include_annotation_type=PROT_FASTA"" --output blumeria_graminis_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_905067625.1/download?include_annotation_type=GENOME_GFF"" --output blumeria_graminis_gff_download.zip",NCBI
