species_name,genome_file_name,cds_file_name,original_name,cds_url,genome_url,proteome_url,source
saccharomyces_cerevisiae,saccharomyces_cerevisiae_genomic.fna,saccharomyces_cerevisiae_cds.fna,saccharomyces_cerevisiae,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000146045.2/download?include_annotation_type=CDS_FASTA"" --output saccharomyces_cerevisiae_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000146045.2/download?include_annotation_type=GENOME_FASTA"" --output saccharomyces_cerevisiae_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000146045.2/download?include_annotation_type=PROT_FASTA"" --output saccharomyces_cerevisiae_prot_download.zip",NCBI
fusarium_oxysporum,fusarium_oxysporum_genomic.fna,fusarium_oxysporum_cds.fna,fusarium_oxysporum,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_013085055.1/download?include_annotation_type=CDS_FASTA"" --output fusarium_oxysporum_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_013085055.1/download?include_annotation_type=GENOME_FASTA"" --output fusarium_oxysporum_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_013085055.1/download?include_annotation_type=PROT_FASTA"" --output fusarium_oxysporum_prot_download.zip",NCBI
candida_albicans,candida_albicans_genomic.fna,candida_albicans_cds.fna,candida_albicans,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000182965.3/download?include_annotation_type=CDS_FASTA"" --output candida_albicans_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000182965.3/download?include_annotation_type=GENOME_FASTA"" --output candida_albicans_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000182965.3/download?include_annotation_type=PROT_FASTA"" --output candida_albicans_prot_download.zip",NCBI
cryptococcus_neoformans,cryptococcus_neoformans_genomic.fna,cryptococcus_neoformans_cds.fna,cryptococcus_neoformans,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000091045.1/download?include_annotation_type=CDS_FASTA"" --output cryptococcus_neoformans_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000091045.1/download?include_annotation_type=GENOME_FASTA"" --output cryptococcus_neoformans_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000091045.1/download?include_annotation_type=PROT_FASTA"" --output cryptococcus_neoformans_prot_download.zip",NCBI
saccharomyces_kudriavzevii,saccharomyces_kudriavzevii_genomic.fna,saccharomyces_kudriavzevii_cds.fna,saccharomyces_kudriavzevii,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_947243775.1/download?include_annotation_type=CDS_FASTA"" --output saccharomyces_kudriavzevii_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_947243775.1/download?include_annotation_type=GENOME_FASTA"" --output saccharomyces_kudriavzevii_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_947243775.1/download?include_annotation_type=PROT_FASTA"" --output saccharomyces_kudriavzevii_prot_download.zip",NCBI
pyricularia_oryzae,pyricularia_oryzae_genomic.fna,pyricularia_oryzae_cds.fna,pyricularia_oryzae,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002495.2/download?include_annotation_type=CDS_FASTA"" --output pyricularia_oryzae_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002495.2/download?include_annotation_type=GENOME_FASTA"" --output pyricularia_oryzae_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002495.2/download?include_annotation_type=PROT_FASTA"" --output pyricularia_oryzae_prot_download.zip",NCBI
trichophyton_rubrum,trichophyton_rubrum_genomic.fna,trichophyton_rubrum_cds.fna,trichophyton_rubrum,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000151425.1/download?include_annotation_type=CDS_FASTA"" --output trichophyton_rubrum_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000151425.1/download?include_annotation_type=GENOME_FASTA"" --output trichophyton_rubrum_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000151425.1/download?include_annotation_type=PROT_FASTA"" --output trichophyton_rubrum_prot_download.zip",NCBI
cryptococcus_gattii,cryptococcus_gattii_vgii_genomic.fna,cryptococcus_gattii_vgii_cds.fna,cryptococcus_gattii_vgii,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_002954075.1/download?include_annotation_type=CDS_FASTA"" --output cryptococcus_gattii_vgii_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_002954075.1/download?include_annotation_type=GENOME_FASTA"" --output cryptococcus_gattii_vgii_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_002954075.1/download?include_annotation_type=PROT_FASTA"" --output cryptococcus_gattii_vgii_prot_download.zip",NCBI
puccinia_striiformis,puccinia_striiformis_genomic.fna,puccinia_striiformis_cds.fna,puccinia_striiformis,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_021901695.1/download?include_annotation_type=CDS_FASTA"" --output puccinia_striiformis_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_021901695.1/download?include_annotation_type=GENOME_FASTA"" --output puccinia_striiformis_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_021901695.1/download?include_annotation_type=PROT_FASTA"" --output puccinia_striiformis_prot_download.zip",NCBI
rhizoctonia_solani,rhizoctonia_solani_genomic.fna,rhizoctonia_solani_cds.fna,rhizoctonia_solani,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016906535.1/download?include_annotation_type=CDS_FASTA"" --output rhizoctonia_solani_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016906535.1/download?include_annotation_type=GENOME_FASTA"" --output rhizoctonia_solani_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016906535.1/download?include_annotation_type=PROT_FASTA"" --output rhizoctonia_solani_prot_download.zip",NCBI
aspergillus_oryzae,aspergillus_oryzae_genomic.fna,aspergillus_oryzae_cds.fna,aspergillus_oryzae,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000184455.2/download?include_annotation_type=CDS_FASTA"" --output aspergillus_oryzae_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000184455.2/download?include_annotation_type=GENOME_FASTA"" --output aspergillus_oryzae_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000184455.2/download?include_annotation_type=PROT_FASTA"" --output aspergillus_oryzae_prot_download.zip",NCBI
zymoseptoria_tritici,zymoseptoria_tritici_genomic.fna,zymoseptoria_tritici_cds.fna,zymoseptoria_tritici,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000219625.1/download?include_annotation_type=CDS_FASTA"" --output zymoseptoria_tritici_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000219625.1/download?include_annotation_type=GENOME_FASTA"" --output zymoseptoria_tritici_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000219625.1/download?include_annotation_type=PROT_FASTA"" --output zymoseptoria_tritici_prot_download.zip",NCBI
aspergillus_fumigatus,aspergillus_fumigatus_genomic.fna,aspergillus_fumigatus_cds.fna,aspergillus_fumigatus,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002655.1/download?include_annotation_type=CDS_FASTA"" --output aspergillus_fumigatus_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002655.1/download?include_annotation_type=GENOME_FASTA"" --output aspergillus_fumigatus_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002655.1/download?include_annotation_type=PROT_FASTA"" --output aspergillus_fumigatus_prot_download.zip",NCBI
rhizopus_microsporus,rhizopus_microsporus_genomic.fna,rhizopus_microsporus_cds.fna,rhizopus_microsporus,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002708625.1/download?include_annotation_type=CDS_FASTA"" --output rhizopus_microsporus_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002708625.1/download?include_annotation_type=GENOME_FASTA"" --output rhizopus_microsporus_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002708625.1/download?include_annotation_type=PROT_FASTA"" --output rhizopus_microsporus_prot_download.zip",NCBI
blumeria_graminis,blumeria_graminis_genomic.fna,blumeria_graminis_cds.fna,blumeria_graminis,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_905067625.1/download?include_annotation_type=CDS_FASTA"" --output blumeria_graminis_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_905067625.1/download?include_annotation_type=GENOME_FASTA"" --output blumeria_graminis_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_905067625.1/download?include_annotation_type=PROT_FASTA"" --output blumeria_graminis_prot_download.zip",NCBI
